ph,temperature,depth,turbidity,co,gas,fish
6,27,6.5,7,256,0.02,katla
7.5,29,3.5,6,250,0.081,prawn
6.1,31,5,4.9,325,0.065,rui
7.1,23,4.3,5.5,265,0.019,koi
7.5,32,7,7.3,345,0.03,katla
7.7,22,5.1,6,285,0.06,rui
7.9,29,4.9,5.5,265,0.05,rui
9.5,27,5.5,7.5,310,0.04,rui
9.3,30,5.3,6.8,256,0.07,rui
4,10,1.2,11,390,0.1,no
8.4,25,4.8,5,340,0.039,rui
5.5,18,4.5,5,321,0.026,koi
6.2,19,5.2,6.1,285,0.051,koi
6.8,22,4.5,5.9,242,0.064,koi
5.9,21,4.6,6,300,0.048,koi
8.2,27,4,8.5,325,0.056,prawn
8.3,30,5,5.3,315,0.043,prawn
7.3,32,4.8,5.8,290,0.066,prawn
7.9,29,4,7.2,356,0.055,prawn
7.8,27,3.2,5.6,258,0.027,sing
7.5,31,3.5,7.2,265,0.023,sing
7.9,25,4,5.6,295,0.061,sing
8.5,32,3.9,6,280,0.012,sing
8.1,29,3.2,7.2,298,0.032,sing
7.9,28,4.6,6.1,305,0.056,sing
8.5,30,4.1,6.8,278,0.08,pangas
7.4,31,4.3,6.7,245,0.043,pangas
7.8,25,3.7,5.1,263,0.056,pangas
8,27,3.5,5.9,269,0.035,pangas
6.5,21,6.5,5,280,0.056,telepia
5.9,25,6.5,5.5,311,0.032,telepia
5.6,27,6,6.8,350,0.045,telepia
7.1,30,7,6.1,295,0.059,telepia
6.8,27,5.8,7.2,275,0.04,telepia
7.6,32,6,5,325,0.04,silverCup
8.5,28,7,5.6,268,0.032,silverCup
7.6,32,6.3,6.1,290,0.023,silverCup
8.8,25,5.9,7,240,0.039,silverCup
7,29,6.5,5.9,360,0.036,silverCup
7.6,29,6.2,6.5,320,0.035,silverCup
8.6,31,4.2,6.8,270,0.08,pangas
8.5,31,4.1,6.6,275,0.033,pangas
6.5,31,6,5.5,242,0.04,katla
6.9,25,6.9,6,295,0.01,katla
7.2,29,6.1,8.6,315,0.06,katla
