,duration,protocol_type,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,class ,,,,
,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
0,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
1,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
2,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
3,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
4,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
5,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,oneHundred,normal,,,,
6,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
7,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
8,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
9,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
10,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
11,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
12,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
13,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
14,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
15,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
16,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
17,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
18,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
19,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
